EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0044,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 1
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0046,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0047,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,WAFER CLEAN PRE PROCESS,MEASURE BACKSIDE CONTACT,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0048,STRIP PHOTORESIST,STRIP RESIST,ELECTRICAL PARAMETRIC TEST,CLEAN AFTER VIA ETCH,MEASURE THICKNESS
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,CMP METAL,ALIGN MASK LEVEL 1
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,MEASURE PAD OPENING,CLEAN PAD OPENING,DEVELOP PAD WINDOW
valid_0051,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE VIA CD,ALIGN MASK LEVEL 1,CMP METAL
valid_0052,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,MEASURE WAFER THICKNESS,CLEAN AFTER VIA ETCH
valid_0053,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA INSPECTION,MEASURE DIELECTRIC THICKNESS
valid_0054,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,IMPLANT CHANNEL STOP,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0055,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED,HARD BAKE,GATE OXIDE PREP
valid_0056,CLEAN PAD OPENING,MEASURE PAD OPENING,ALIGN MASK LEVEL 3,CLEAN AFTER VIA ETCH,PASSIVATION ETCH
valid_0057,STRIP PHOTORESIST,STRIP RESIST,MEASURE PASSIVATION QUALITY,DIELECTRIC ETCH VIA,STRIP RESIST LEVEL 4
valid_0058,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH PAD OPENING,STRIP RESIST LEVEL 5,VIA ETCH THROUGH DIELECTRIC
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0060,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,DEPOSIT GATE OXIDE OR DIELECTRIC,ALIGN MASK LEVEL 1
valid_0062,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE OPENING CD
valid_0063,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH,STRIP RESIST LEVEL 4,DENSIFY DIELECTRIC
valid_0064,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OXIDE ETCH
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0066,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,CLEAN PAD OPENING,OPEN BOND PAD WINDOW
valid_0067,CLEAN AFTER VIA ETCH,VIA ETCH THROUGH DIELECTRIC,VIA INSPECTION,MEASURE VIA CD,CLEAN AFTER POLY ETCH
valid_0068,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,VIA ETCH THROUGH DIELECTRIC,MEASURE WAFER THICKNESS
valid_0069,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,MEASURE DIELECTRIC THICKNESS
valid_0070,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,WET CLEAN RCA2,IMPLANT CHANNEL STOP
valid_0071,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,CLEAN AFTER POLY ETCH
valid_0072,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,EPITAXIAL LAYER PREP,IMPLANT CHANNEL STOP
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0074,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,PASSIVATION ETCH PAD OPENING,MEASURE WAFER THICKNESS
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,DEPOSIT POLYSILICON,MEASURE SHEET RESISTANCE
valid_0076,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,BACKSIDE GRIND,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0077,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,MEASURE DIELECTRIC THICKNESS,CLEAN AFTER POLY ETCH
valid_0078,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,STRIP RESIST LEVEL 5,MEASURE WAFER THICKNESS
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0080,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,MEASURE THICKNESS,STRIP RESIST LEVEL 5
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,CMP METAL
valid_0082,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,GATE OXIDE GROWTH,CLEAN AFTER VIA ETCH
valid_0083,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 4,VIA ETCH THROUGH DIELECTRIC,EXPOSE LITHO LEVEL 4
valid_0084,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,DEPOSIT POLYSILICON
valid_0086,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER POLY ETCH,ALIGN MASK LEVEL 3
valid_0087,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,VIA INSPECTION
valid_0088,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,BACKSIDE DRY,CURE PASSIVATION
valid_0089,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,CLEAN AFTER POLY ETCH,VIA INSPECTION
valid_0090,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,MEASURE THICKNESS,GATE OXIDE GROWTH
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0092,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,ELECTRICAL PARAMETRIC TEST
valid_0093,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,STRIP RESIST LEVEL 3,STRIP RESIST LEVEL 4
valid_0094,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH,CLEAN AFTER VIA ETCH,STRIP RESIST LEVEL 5
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0096,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,PASSIVATION ETCH PAD OPENING,MEASURE WAFER THICKNESS
valid_0097,CLEAN AFTER VIA ETCH,VIA INSPECTION,MEASURE VIA CD,DEPOSIT BARRIER METAL,VIA ETCH THROUGH DIELECTRIC
valid_0098,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0099,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT METAL 1,OPEN BOND PAD WINDOW,DEPOSIT TOP METAL
valid_0100,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST
valid_0101,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,CLEAN PAD OPENING
valid_0102,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,PASSIVATION ETCH PAD OPENING,MEASURE THICKNESS
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,CMP METAL
valid_0104,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,PATTERN INSPECTION LEVEL 1,METAL PATTERN INSPECTION
valid_0105,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE VIA CD,CMP METAL,ALIGN MASK LEVEL 1
valid_0106,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,MEASURE WAFER THICKNESS,PASSIVATION ETCH PAD OPENING
valid_0107,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,GATE OXIDE PREP,DEPOSIT TUNGSTEN SEED,FILL VIA METAL
valid_0108,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,MEASURE PAD OPENING,EPITAXIAL LAYER PREP
valid_0109,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,CLEAN AFTER METAL ETCH
valid_0110,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE OPENING CD
valid_0111,CLEAN AFTER VIA ETCH,VIA INSPECTION,MEASURE VIA CD,MEASURE DIELECTRIC THICKNESS,DEPOSIT BARRIER METAL
valid_0112,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,STRIP RESIST LEVEL 5,ELECTRICAL PARAMETRIC TEST
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0114,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0116,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,GATE OXIDE GROWTH,MEASURE THICKNESS
valid_0117,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,CLEAN AFTER POLY ETCH
valid_0118,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0119,DEPOSIT BARRIER METAL,ALIGN MASK LEVEL 1,MEASURE VIA CD,DEPOSIT METAL SEED,CMP METAL
valid_0120,CLEAN PAD OPENING,PASSIVATION ETCH,MEASURE PAD OPENING,CLEAN AFTER VIA ETCH,PASSIVATION ETCH PAD OPENING
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE ANNEAL
valid_0122,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,MEASURE PAD OPENING,EPITAXIAL LAYER PREP
valid_0123,FILL VIA METAL,FILL VIA TUNGSTEN,STRIP PHOTORESIST,DEPOSIT METAL 1,DEPOSIT TOP METAL
valid_0124,CLEAN PAD OPENING,PASSIVATION ETCH,MEASURE PAD OPENING,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 3
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,BACKSIDE CLEAN,CLEAN AFTER VIA ETCH
valid_0126,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,VIA ETCH THROUGH DIELECTRIC,MEASURE WAFER THICKNESS
valid_0127,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,MEASURE DIELECTRIC THICKNESS
valid_0128,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH PAD OPENING,STRIP RESIST LEVEL 5,BACKSIDE METALLIZATION PREP
valid_0129,VIA ETCH THROUGH DIELECTRIC,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA OPENING INSPECTION
valid_0130,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,MEASURE SURFACE PLANARITY
valid_0131,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,GATE OXIDE PREP,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0132,CLEAN PAD OPENING,MEASURE PAD OPENING,CLEAN AFTER VIA ETCH,ALIGN MASK LEVEL 3,PASSIVATION ETCH
valid_0133,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,GATE OXIDE PREP,DEPOSIT TUNGSTEN SEED,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0134,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ELECTRICAL PARAMETRIC TEST
valid_0135,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,WAFER CLEAN PRE PROCESS,GATE OXIDE PREP
valid_0136,CLEAN PAD OPENING,PASSIVATION ETCH,MEASURE PAD OPENING,CLEAN AFTER VIA ETCH,PASSIVATION ETCH PAD OPENING
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,BACKSIDE CLEAN,CLEAN AFTER VIA ETCH
valid_0138,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,MEASURE PAD OPENING,DEVELOP PAD WINDOW
valid_0139,CLEAN AFTER VIA ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD,VIA INSPECTION,CLEAN AFTER POLY ETCH
valid_0140,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,GATE OXIDE GROWTH,STRIP RESIST LEVEL 5
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,BREAKDOWN VOLTAGE TEST
valid_0142,STRIP PHOTORESIST,STRIP RESIST,ELECTRICAL PARAMETRIC TEST,GATE OXIDE GROWTH,CLEAN AFTER VIA ETCH
valid_0143,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,GATE OXIDE PREP,DEPOSIT TUNGSTEN SEED,WAFER CLEAN PRE PROCESS
valid_0144,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 1
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0146,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 1,CLEAN PAD OPENING
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0148,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,BACKSIDE CLEAN,BACKSIDE ANNEAL,DEPOSIT METAL 1
valid_0150,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,MEASURE WAFER THICKNESS,PASSIVATION ETCH PAD OPENING
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,MEASURE CD LEVEL 1,CLEAN AFTER VIA ETCH
valid_0152,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,MEASURE OPENING CD,OPEN PAD WINDOW LITHO
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0154,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,MEASURE OPENING CD
valid_0155,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,MEASURE VIA CD,VIA INSPECTION,VIA ETCH THROUGH DIELECTRIC
valid_0156,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,MEASURE THICKNESS,PASSIVATION ETCH PAD OPENING
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,DEPOSIT METAL 1
valid_0158,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,ALIGN MASK LEVEL 5,DEVELOP PAD WINDOW,MEASURE PAD OPENING
valid_0159,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0160,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,STRIP RESIST LEVEL 5
valid_0161,STRIP PHOTORESIST,STRIP RESIST,VIA ETCH THROUGH DIELECTRIC,VIA OPENING INSPECTION,DEVELOP PHOTORESIST
valid_0162,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,OPEN PAD WINDOW LITHO,PASSIVATION ETCH PAD OPENING
valid_0163,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0164,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST,GATE OXIDE GROWTH
valid_0165,MEASURE VIA CD,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,DEPOSIT METAL 1,RAPID THERMAL ANNEAL
valid_0166,STRIP PHOTORESIST,STRIP RESIST,ELECTRICAL PARAMETRIC TEST,CLEAN AFTER VIA ETCH,MEASURE THICKNESS
valid_0167,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,ALIGN MASK LEVEL 1,DEPOSIT METAL 1
valid_0168,CLEAN PAD OPENING,MEASURE PAD OPENING,PASSIVATION ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER VIA ETCH
valid_0169,STRIP PHOTORESIST,STRIP RESIST,DIELECTRIC ETCH VIA,STRIP RESIST LEVEL 4,EXPOSE LITHO LEVEL 3
valid_0170,STRIP PHOTORESIST,STRIP RESIST,MEASURE THICKNESS,PASSIVATION ETCH PAD OPENING,MEASURE WAFER THICKNESS
valid_0171,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,WAFER CLEAN PRE PROCESS,GATE OXIDE PREP
valid_0172,STRIP PHOTORESIST,STRIP RESIST,PASSIVATION ETCH PAD OPENING,POST EXPOSE BAKE,MEASURE THICKNESS
valid_0173,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL 1,CLEAN AFTER VIA ETCH,BACKSIDE CLEAN
valid_0174,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,CLEAN PAD OPENING,METAL PATTERN INSPECTION,PATTERN INSPECTION LEVEL 1
valid_0175,MEASURE VIA CD,DEPOSIT BARRIER METAL,BACKSIDE CLEAN,DEPOSIT METAL 1,BACKSIDE ANNEAL
valid_0176,STRIP PHOTORESIST,STRIP RESIST,CLEAN AFTER VIA ETCH,MEASURE THICKNESS,STRIP RESIST LEVEL 5
valid_0177,DEPOSIT METAL SEED,DEPOSIT BARRIER METAL,GATE OXIDE PREP,DEPOSIT TUNGSTEN SEED,FILL VIA METAL
valid_0178,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 5,CLEAN AFTER VIA ETCH,ELECTRICAL PARAMETRIC TEST
